"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Funding Details","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Hori T.; Ohnishi H.; Kadowaki T.; Kawamoto N.; Matsumoto H.; Ohara O.; Fukao T.","Hori, Tomohiro (25622221700); Ohnishi, Hidenori (7201758108); Kadowaki, Tomonori (57200216917); Kawamoto, Norio (12795263900); Matsumoto, Hideki (57195723540); Ohara, Osamu (57584601400); Fukao, Toshiyuki (7102508216)","25622221700; 7201758108; 57200216917; 12795263900; 57195723540; 57584601400; 7102508216","Autosomal dominant hashimoto’s thyroiditis with a mutation in TNFAIP3","2019","Clinical Pediatric Endocrinology","28","3","","91","96","5","12","10.1297/cpe.28.91","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070093265&doi=10.1297%2fcpe.28.91&partnerID=40&md5=8105a62cb9f404e4bb0ad0596dcc005a","Department of Pediatrics, Graduate School of Medicine, Gifu University, Gifu, Japan; Department of Technology Development, Kazusa DNA Research Institute, Kisarazu, Japan","Hori T., Department of Pediatrics, Graduate School of Medicine, Gifu University, Gifu, Japan; Ohnishi H., Department of Pediatrics, Graduate School of Medicine, Gifu University, Gifu, Japan; Kadowaki T., Department of Pediatrics, Graduate School of Medicine, Gifu University, Gifu, Japan; Kawamoto N., Department of Pediatrics, Graduate School of Medicine, Gifu University, Gifu, Japan; Matsumoto H., Department of Pediatrics, Graduate School of Medicine, Gifu University, Gifu, Japan; Ohara O., Department of Technology Development, Kazusa DNA Research Institute, Kisarazu, Japan; Fukao T., Department of Pediatrics, Graduate School of Medicine, Gifu University, Gifu, Japan","Japan Society for the Promotion of Science, KAKEN, (18K07840); Ministry of Education, Culture, Sports, Science and Technology, MEXT; Ministry of Health, Labour and Welfare, MHLW, (17933299, 17933688)","T. Hori; Department of Pediatrics, Graduate School of Medicine, Gifu University, Gifu, 1-1 Yanagido, 501-1194, Japan; email: hori-gif@umin.org","","Jeff Corporation Co. Ltd","09185739","","CPENF","","English","Clin. Pediatr. Endocrinol.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85070093265"
"Mariotti S.","Mariotti, Stefano (7005679666)","7005679666","Chronic Autoimmune Thyroiditis","2012","Thyroid Diseases","","","","77","96","19","3","10.1201/b12117-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137462329&doi=10.1201%2fb12117-9&partnerID=40&md5=282074181c02aaed448d55a648dcda06","Department of Medical Sciences, University of Cagliari, Cagliari, Italy; Endocrine Unit, Azienda Ospedaliero-Universitaria di Cagliari, Cagliari, Italy","Mariotti S., Department of Medical Sciences, University of Cagliari, Cagliari, Italy, Endocrine Unit, Azienda Ospedaliero-Universitaria di Cagliari, Cagliari, Italy","","S. Mariotti; Department of Medical Sciences, University of Cagliari, Cagliari, Italy; email: mariotti@medicina.unica.it","","CRC Press","","978-143986839-3; 978-143986838-6","","","English","Thyroid Diseases","Book chapter","Final","","Scopus","2-s2.0-85137462329"
"Matheis N.; Okrojek R.; Grus F.H.; Kahaly G.J.","Matheis, Nina (25645021100); Okrojek, Rainer (57268487400); Grus, Franz H. (7004707622); Kahaly, George J. (7005506174)","25645021100; 57268487400; 7004707622; 7005506174","Proteomics of tear fluid in thyroid-associated orbitopathy","2012","Thyroid","22","10","","1039","1045","6","54","10.1089/thy.2012.0119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866989207&doi=10.1089%2fthy.2012.0119&partnerID=40&md5=b0808b39b2daa19f4ffab603a6d1ed1e","Molecular Thyroid Research Laboratory, Department of Medicine i, Johannes Gutenberg University Medical Center, Mainz 55101, Germany; Department of Experimental Ophthalmology, Johannes Gutenberg University Medical Center, Mainz, Germany","Matheis N., Molecular Thyroid Research Laboratory, Department of Medicine i, Johannes Gutenberg University Medical Center, Mainz 55101, Germany; Okrojek R., Molecular Thyroid Research Laboratory, Department of Medicine i, Johannes Gutenberg University Medical Center, Mainz 55101, Germany; Grus F.H., Department of Experimental Ophthalmology, Johannes Gutenberg University Medical Center, Mainz, Germany; Kahaly G.J., Molecular Thyroid Research Laboratory, Department of Medicine i, Johannes Gutenberg University Medical Center, Mainz 55101, Germany","","G.J. Kahaly; Molecular Thyroid Research Laboratory, Department of Medicine i, Johannes Gutenberg University Medical Center, Mainz 55101, Germany; email: kahaly@ukmainz.de","","","15579077","","THYRE","22873942","English","Thyroid","Article","Final","","Scopus","2-s2.0-84866989207"
"Yavropoulou M.P.; Chronopoulos E.; Trovas G.; Avramidis E.; Elli F.M.; Mantovani G.; Zebekakis P.; Yovos J.G.","Yavropoulou, Maria P. (23487637700); Chronopoulos, Efstathios (6602827272); Trovas, George (7801439227); Avramidis, Emmanouil (59289596000); Elli, Francesca Marta (35175795100); Mantovani, Giovanna (13805129100); Zebekakis, Pantelis (6505964319); Yovos, John G. (6603498860)","23487637700; 6602827272; 7801439227; 59289596000; 35175795100; 13805129100; 6505964319; 6603498860","Hypercalcitoninaemia in pseudohypoparathyroidism type 1A and type 1B","2019","Endocrinology, Diabetes and Metabolism Case Reports","2019","1","18-0125","","","","8","10.1530/EDM-18-0125","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067176698&doi=10.1530%2fEDM-18-0125&partnerID=40&md5=25992997dc70569205f6b8f3241796d3","1st Propaedeutic Department of Internal Medicine, LAIKO General Hospital of Athens, Greece; 2nd Orthopaedic Department, Konstantopouleio General Hospital, Greece; Laboratory for Research of the Musculoskeletal System, Th Garofalidis, National and Kapodistrian University of Athens, Athens, Greece; Endocrinology Unit, Department of Clinical Sciences and Community Health, Fondazione IRCCS Ca’ Granda Ospedale Maggiore Policlinico, University of Milan, Milan, Italy; 1st Department of Internal Medicine, AHEPA University Hospital, Thessaloniki, Greece","Yavropoulou M.P., 1st Propaedeutic Department of Internal Medicine, LAIKO General Hospital of Athens, Greece; Chronopoulos E., 2nd Orthopaedic Department, Konstantopouleio General Hospital, Greece; Trovas G., Laboratory for Research of the Musculoskeletal System, Th Garofalidis, National and Kapodistrian University of Athens, Athens, Greece; Avramidis E., 2nd Orthopaedic Department, Konstantopouleio General Hospital, Greece; Elli F.M., Endocrinology Unit, Department of Clinical Sciences and Community Health, Fondazione IRCCS Ca’ Granda Ospedale Maggiore Policlinico, University of Milan, Milan, Italy; Mantovani G., Endocrinology Unit, Department of Clinical Sciences and Community Health, Fondazione IRCCS Ca’ Granda Ospedale Maggiore Policlinico, University of Milan, Milan, Italy; Zebekakis P., 1st Department of Internal Medicine, AHEPA University Hospital, Thessaloniki, Greece; Yovos J.G., 1st Department of Internal Medicine, AHEPA University Hospital, Thessaloniki, Greece","","M.P. Yavropoulou; 1st Propaedeutic Department of Internal Medicine, LAIKO General Hospital of Athens, Greece; email: maria.yavropoulou.my@gmail.com","","BioScientifica Ltd.","20520573","","","","English","Endocrinol. Diabetes Metab. Case Rep.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85067176698"
"Lee J.; Hasteh F.","Lee, John (57221624089); Hasteh, Farnaz (16241266800)","57221624089; 16241266800","Oncocytic variant of papillary thyroid carcinoma associated with Hashimoto's thyroiditis: A case report and review of the literature","2009","Diagnostic Cytopathology","37","8","","600","606","6","19","10.1002/dc.21092","https://www.scopus.com/inward/record.uri?eid=2-s2.0-67651005869&doi=10.1002%2fdc.21092&partnerID=40&md5=ef470a9b9c8e1cfad3556f7d9bcb6ef3","Department of Pathology, University of California, San Diego, CA, United States; San Diego, CA 92103-8720, 200 West Arbor Dr, United States","Lee J., Department of Pathology, University of California, San Diego, CA, United States; Hasteh F., Department of Pathology, University of California, San Diego, CA, United States, San Diego, CA 92103-8720, 200 West Arbor Dr, United States","","F. Hasteh; San Diego, CA 92103-8720, 200 West Arbor Dr, United States; email: fhasteh@ucsd.edu","","","10970339","","DICYE","19526577","English","Diagn. Cytopathol.","Article","Final","","Scopus","2-s2.0-67651005869"
"Clifford L.M.; Joseph F.","Clifford, Liam Mahoney (59266928800); Joseph, Flavian (55533944200)","59266928800; 55533944200","Difficulties in investigating and treating fibrosing thyroid disorder (overlap of fibrosing variant of Hashimoto's thyroiditis and Riedel's thyroiditis)","2024","BMJ Case Reports","17","5","e258917","","","","0","10.1136/bcr-2023-258917","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192619543&doi=10.1136%2fbcr-2023-258917&partnerID=40&md5=44090d06c6797e1e5594f9d1d9d096b2","Endocrinology, Gosford Hospital, Gosford, NSW, Australia","Clifford L.M., Endocrinology, Gosford Hospital, Gosford, NSW, Australia; Joseph F., Endocrinology, Gosford Hospital, Gosford, NSW, Australia","","L.M. Clifford; Endocrinology, Gosford Hospital, Gosford, Australia; email: RANDALTHOR476@GMAIL.COM","","BMJ Publishing Group","1757790X","","","38719258","English","BMJ Case Rep.","Article","Final","","Scopus","2-s2.0-85192619543"
"Tomizawa R.; Watanabe M.; Inoue N.; Takemura K.; Hidaka Y.; Akamizu T.; Hayakawa K.; Iwatani Y.","Tomizawa, R. (37015829000); Watanabe, M. (55793188612); Inoue, N. (35750180700); Takemura, K. (57217116265); Hidaka, Y. (7102099529); Akamizu, T. (7006010057); Hayakawa, K. (7401743231); Iwatani, Y. (7005606504)","37015829000; 55793188612; 35750180700; 57217116265; 7102099529; 7006010057; 7401743231; 7005606504","Association of functional GITR gene polymorphisms related to expression of glucocorticoid-induced tumour necrosis factor-receptor (GITR) molecules with prognosis of autoimmune thyroid disease","2011","Clinical and Experimental Immunology","165","2","","141","147","6","13","10.1111/j.1365-2249.2011.04414.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79960072082&doi=10.1111%2fj.1365-2249.2011.04414.x&partnerID=40&md5=cf9bfa63f1f18b8a3577dd15ee34b601","Department of Biomedical Informatics, Osaka University Graduate School of Medicine, Suita, Osaka, Japan; Department of Health Promotion Science, Division of Health Science, Osaka University Graduate School of Medicine, Suita, Osaka, Japan; Department of Laboratory Medicine, Osaka University Graduate School of Medicine, Suita, Osaka, Japan; First Department of Internal Medicine, Wakayama Medical University, Wakayama, Japan","Tomizawa R., Department of Biomedical Informatics, Osaka University Graduate School of Medicine, Suita, Osaka, Japan; Watanabe M., Department of Biomedical Informatics, Osaka University Graduate School of Medicine, Suita, Osaka, Japan; Inoue N., Department of Biomedical Informatics, Osaka University Graduate School of Medicine, Suita, Osaka, Japan; Takemura K., Department of Biomedical Informatics, Osaka University Graduate School of Medicine, Suita, Osaka, Japan; Hidaka Y., Department of Laboratory Medicine, Osaka University Graduate School of Medicine, Suita, Osaka, Japan; Akamizu T., First Department of Internal Medicine, Wakayama Medical University, Wakayama, Japan; Hayakawa K., Department of Health Promotion Science, Division of Health Science, Osaka University Graduate School of Medicine, Suita, Osaka, Japan; Iwatani Y., Department of Biomedical Informatics, Osaka University Graduate School of Medicine, Suita, Osaka, Japan","Japan Society for the Promotion of Science, JSPS, (21590625)","Y. Iwatani; Department of Biomedical Informatics, Division of Health Sciences, Osaka University Graduate School of Medicine, Suita, Osaka 565-0871, Yamadaoka 1-7, Japan; email: iwatani@sahs.med.osaka-u.ac.jp","","","13652249","","CEXIA","21592113","English","Clin. Exp. Immunol.","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-79960072082"
"Enverga M.C.; Crisostomo T.D.","Enverga, Mariel C. (58345601500); Crisostomo, Thelma D. (57205242635)","58345601500; 57205242635","A Rare Case of Coexistence: Papillary Thyroid Carcinoma Dedifferentiated to Squamous Cell Carcinoma: A Case Report","2024","Phillippine Journal of Internal Medicine","62","3","","166","170","4","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207824179&partnerID=40&md5=1eee3948270fc6b687c8ba9a1c2ea54a","Section of Endocrinology, Diabetes and Metabolism, Department of Internal Medicine, Makati Medical Center, Makati City, Philippines","Enverga M.C., Section of Endocrinology, Diabetes and Metabolism, Department of Internal Medicine, Makati Medical Center, Makati City, Philippines; Crisostomo T.D., Section of Endocrinology, Diabetes and Metabolism, Department of Internal Medicine, Makati Medical Center, Makati City, Philippines","","M.C. Enverga; Section of Endocrinology, Diabetes and Metabolism, Department of Internal Medicine, Makati Medical Center, Makati City, Philippines; email: mcenverga@gmail.com","","Philippine College of Physicians","01199641","","","","English","Philipp. J. Intern. Med.","Article","Final","","Scopus","2-s2.0-85207824179"
"Frenkel M.; Hall A.; Meyn M.S.; Diamond C.A.","Frenkel, Max (58534264200); Hall, April (58592792500); Meyn, M. Stephen (7003397557); Diamond, Carol A. (55555590700)","58534264200; 58592792500; 7003397557; 55555590700","An oligogenic case of severe neonatal thrombocytopenia and a purportedly benign variant in GFI1B requiring reinterpretation","2023","Platelets","34","1","2237592","","","","0","10.1080/09537104.2023.2237592","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167838050&doi=10.1080%2f09537104.2023.2237592&partnerID=40&md5=b0e1ec51775eab6234c7131704c929c4","Cellular and Molecular Biology Graduate Program, University of Wisconsin, Madison, WI, United States; Medical Scientist Training Program, University of Wisconsin, Madison, WI, United States; Center for Human Genomics and Precision Medicine, School of Medicine and Public Health, University of Wisconsin, Madison, WI, United States; Division of Genetics and Metabolism, Department of Pediatrics, School of Medicine and Public Health, University of Wisconsin, Madison, WI, United States; Division of Hematology, Oncology and Bone Marrow Transplant, Department of Pediatrics, School of Medicine and Public Health, University of Wisconsin, Madison, WI, United States; Carbone Cancer Center, School of Medicine and Public Health, University of Wisconsin, Madison, WI, United States","Frenkel M., Cellular and Molecular Biology Graduate Program, University of Wisconsin, Madison, WI, United States, Medical Scientist Training Program, University of Wisconsin, Madison, WI, United States; Hall A., Center for Human Genomics and Precision Medicine, School of Medicine and Public Health, University of Wisconsin, Madison, WI, United States, Division of Genetics and Metabolism, Department of Pediatrics, School of Medicine and Public Health, University of Wisconsin, Madison, WI, United States; Meyn M.S., Center for Human Genomics and Precision Medicine, School of Medicine and Public Health, University of Wisconsin, Madison, WI, United States, Division of Genetics and Metabolism, Department of Pediatrics, School of Medicine and Public Health, University of Wisconsin, Madison, WI, United States; Diamond C.A., Division of Hematology, Oncology and Bone Marrow Transplant, Department of Pediatrics, School of Medicine and Public Health, University of Wisconsin, Madison, WI, United States, Carbone Cancer Center, School of Medicine and Public Health, University of Wisconsin, Madison, WI, United States","","C.A. Diamond; Division of Hematology, Oncology and Bone Marrow Transplant, Department of Pediatrics, School of Medicine and Public Health, University of Wisconsin, Madison, United States; email: cadiamond@pediatrics.wisc.edu","","Taylor and Francis Ltd.","09537104","","PLTEE","37577973","English","Platelets","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85167838050"
"Kahaly G.J.","Kahaly, George J. (7005506174)","7005506174","Polyglandular Autoimmune Syndrome Type II","2012","Presse Medicale","41","12 PART2","","e663","e670","7","40","10.1016/j.lpm.2012.09.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870659277&doi=10.1016%2fj.lpm.2012.09.011&partnerID=40&md5=7182477efe3bdaf8f9bf11c77c8cccdc","Gutenberg University Medical Center, Department of Medicine I, 55101 Mainz, Germany","Kahaly G.J., Gutenberg University Medical Center, Department of Medicine I, 55101 Mainz, Germany","","G.J. Kahaly; Gutenberg University Medical Center, Department of Medicine I, 55101 Mainz, Langenbeckstrasse 1, Germany; email: gkahaly@uni-mainz.de","","Elsevier Masson SAS","07554982","","PRMEE","23159534","English","Presse Med.","Short survey","Final","","Scopus","2-s2.0-84870659277"
"Magnusson J.L.; Leventhal D.K.","Magnusson, Jennifer L. (57255832500); Leventhal, Daniel K. (6603844513)","57255832500; 6603844513","Revisiting the “Paradox of Stereotaxic Surgery”: Insights Into Basal Ganglia-Thalamic Interactions","2021","Frontiers in Systems Neuroscience","15","","725876","","","","7","10.3389/fnsys.2021.725876","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114742590&doi=10.3389%2ffnsys.2021.725876&partnerID=40&md5=3b03380a1a0d5eeddcb8cb9fac3a40d7","Department of Neurology, University of Michigan, Ann Arbor, MI, United States; Department of Biomedical Engineering, University of Michigan, Ann Arbor, MI, United States; Parkinson Disease Foundation Research Center of Excellence, University of Michigan, Ann Arbor, MI, United States; Department of Neurology, VA Ann Arbor Health System, Ann Arbor, MI, United States","Magnusson J.L., Department of Neurology, University of Michigan, Ann Arbor, MI, United States; Leventhal D.K., Department of Neurology, University of Michigan, Ann Arbor, MI, United States, Department of Biomedical Engineering, University of Michigan, Ann Arbor, MI, United States, Parkinson Disease Foundation Research Center of Excellence, University of Michigan, Ann Arbor, MI, United States, Department of Neurology, VA Ann Arbor Health System, Ann Arbor, MI, United States","Department of Neurology; Parkinson Foundation Research Center of Excellence; University of Michigan, U-M","D.K. Leventhal; Department of Neurology, University of Michigan, Ann Arbor, United States; email: dleventh@med.umich.edu","","Frontiers Media S.A.","16625137","","","","English","Front. Syst. Neurosci.","Review","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85114742590"
"Vukasović A.; Kuna S.K.; Ostović K.T.; Prgomet D.; Banek T.","Vukasović, Anamarija (41361995200); Kuna, Sanja Kusačić (15846379400); Ostović, Karmen Trutin (36057080400); Prgomet, Drago (6601989316); Banek, Tomislav (6603518295)","41361995200; 15846379400; 36057080400; 6601989316; 6603518295","Diffuse sclerosing variant of thyroid carcinoma presenting as Hashimoto thyroiditis: A case report; [Difuzno skleroziraju]i oblik papilarnog karcinoma štitnjače nalik Hashimoto tireoiditisu: Prikaz slučaja]","2013","Collegium Antropologicum","36","SUPPL.2","","219","221","2","6","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84874544600&partnerID=40&md5=a26d493a1dc8db4ad0ae5d01dea53344","Department of Nuclear Medicine, Dubrava University Hospital, Zagreb, Croatia; Department of Nuclear Medicine and Radiation Protection, Clinical Hospital Centre Zagreb, Zagreb, Croatia; Department of Clinical Cytology and Cytometry, Dubrava University Hospital, Zagreb, Croatia; Department of Otorhinolaryngology, Head and Neck Surgery, Clinical Hospital Centre Zagreb, Zagreb, Croatia","Vukasović A., Department of Nuclear Medicine, Dubrava University Hospital, Zagreb, Croatia; Kuna S.K., Department of Nuclear Medicine and Radiation Protection, Clinical Hospital Centre Zagreb, Zagreb, Croatia; Ostović K.T., Department of Clinical Cytology and Cytometry, Dubrava University Hospital, Zagreb, Croatia; Prgomet D., Department of Otorhinolaryngology, Head and Neck Surgery, Clinical Hospital Centre Zagreb, Zagreb, Croatia; Banek T., Department of Nuclear Medicine, Dubrava University Hospital, Zagreb, Croatia","","A. Vukasović; University of Zagreb, Dubrava University Hospital, Centre of Nuclear Medicine, 10 000 Zagreb, Avenija Gojka Šuška 6, Croatia; email: anamarijavukasovic@gmail.com","","","03506134","","COAND","23397791","English","Coll. Antropol.","Article","Final","","Scopus","2-s2.0-84874544600"
"Silajdzija E.; Bliddal S.; Borgwardt L.; Rossing M.; Jarløv A.; Nielsen C.H.; Feldt-Rasmussen U.","Silajdzija, Elvira (57478284000); Bliddal, Sofie (36766744700); Borgwardt, Line (36439230500); Rossing, Maria (55394381300); Jarløv, Anne (6701786785); Nielsen, Claus Henrik (7201429412); Feldt-Rasmussen, Ulla (7005437081)","57478284000; 36766744700; 36439230500; 55394381300; 6701786785; 7201429412; 7005437081","Severe weight loss in a hypothyroid patient as an acute presentation of autoimmune polyglandular syndrome type II","2022","Hormones","21","2","","317","322","5","3","10.1007/s42000-021-00344-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125807908&doi=10.1007%2fs42000-021-00344-9&partnerID=40&md5=0bd4065539a2618d4c2490bc24688efc","Faculty of Health and Medical Research, Copenhagen University, Copenhagen, Denmark; Department of Medical Endocrinology and Metabolism, Rigshospitalet, Copenhagen University, Copenhagen, Denmark; Institute of Inflammation Research, Center for Rheumatology and Spine Diseases, Rigshospitalet, Copenhagen University, Copenhagen, Denmark; Center for Genomic Medicine, Rigshospitalet, Copenhagen University, Copenhagen, Denmark","Silajdzija E., Faculty of Health and Medical Research, Copenhagen University, Copenhagen, Denmark, Department of Medical Endocrinology and Metabolism, Rigshospitalet, Copenhagen University, Copenhagen, Denmark; Bliddal S., Faculty of Health and Medical Research, Copenhagen University, Copenhagen, Denmark, Department of Medical Endocrinology and Metabolism, Rigshospitalet, Copenhagen University, Copenhagen, Denmark, Institute of Inflammation Research, Center for Rheumatology and Spine Diseases, Rigshospitalet, Copenhagen University, Copenhagen, Denmark; Borgwardt L., Center for Genomic Medicine, Rigshospitalet, Copenhagen University, Copenhagen, Denmark; Rossing M., Center for Genomic Medicine, Rigshospitalet, Copenhagen University, Copenhagen, Denmark; Jarløv A., Department of Medical Endocrinology and Metabolism, Rigshospitalet, Copenhagen University, Copenhagen, Denmark; Nielsen C.H., Faculty of Health and Medical Research, Copenhagen University, Copenhagen, Denmark, Institute of Inflammation Research, Center for Rheumatology and Spine Diseases, Rigshospitalet, Copenhagen University, Copenhagen, Denmark; Feldt-Rasmussen U., Faculty of Health and Medical Research, Copenhagen University, Copenhagen, Denmark, Department of Medical Endocrinology and Metabolism, Rigshospitalet, Copenhagen University, Copenhagen, Denmark","Danish Thyroid Patient Association; Kirsten and Freddy Johansen’s Foundation; Musikforlæggerne Agnes and Knut Mørk’s Foundation; Gentofte Hospital; Fonden til Lægevidenskabens Fremme; Lægeforeningen","U. Feldt-Rasmussen; Faculty of Health and Medical Research, Copenhagen University, Copenhagen, Denmark; email: ufeldt@rh.dk","","Springer Science and Business Media Deutschland GmbH","11093099","","","35182386","English","Horm.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85125807908"
"Croce L.; De Martinis L.; Pinto S.; Coperchini F.; Dito G.; Bendotti G.; Pasquali D.; Cappelli C.; Latrofa F.; Magri F.; Chiovato L.; Rotondi M.","Croce, L. (56446593500); De Martinis, L. (55849852400); Pinto, S. (57202053665); Coperchini, F. (36996868900); Dito, G. (56880222400); Bendotti, G. (57198806135); Pasquali, D. (7003943025); Cappelli, C. (57190571786); Latrofa, F. (6603260291); Magri, F. (7003740064); Chiovato, L. (7004284732); Rotondi, M. (57226226576)","56446593500; 55849852400; 57202053665; 36996868900; 56880222400; 57198806135; 7003943025; 57190571786; 6603260291; 7003740064; 7004284732; 57226226576","Compared with classic Hashimoto’s thyroiditis, chronic autoimmune serum-negative thyroiditis requires a lower substitution dose of l-thyroxine to correct hypothyroidism","2020","Journal of Endocrinological Investigation","43","11","","1631","1636","5","18","10.1007/s40618-020-01249-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083722917&doi=10.1007%2fs40618-020-01249-x&partnerID=40&md5=8ca8603bdd46257c03fec3b92ef01039","Unit of Internal Medicine and Endocrinology, Laboratory for Endocrine Disruptors, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy; Department of Internal Medicine and Therapeutics, University of Pavia, Pavia, 27100, Italy; PhD Course in Experimental Medicine, University of Pavia, Pavia, 27100, Italy; Department of Advanced Medical and Surgical Science, A.O.U. Vanvitelli, University of Campania “Luigi Vanvitelli”, Naples, 80138, Italy; Department of Clinical and Experimental Sciences, University of Brescia, Brescia, 25123, Italy; Department of Clinical and Experimental Medicine, University of Pisa, Pisa, 56124, Italy","Croce L., Unit of Internal Medicine and Endocrinology, Laboratory for Endocrine Disruptors, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy, Department of Internal Medicine and Therapeutics, University of Pavia, Pavia, 27100, Italy, PhD Course in Experimental Medicine, University of Pavia, Pavia, 27100, Italy; De Martinis L., Unit of Internal Medicine and Endocrinology, Laboratory for Endocrine Disruptors, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy; Pinto S., Unit of Internal Medicine and Endocrinology, Laboratory for Endocrine Disruptors, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy; Coperchini F., Unit of Internal Medicine and Endocrinology, Laboratory for Endocrine Disruptors, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy; Dito G., Unit of Internal Medicine and Endocrinology, Laboratory for Endocrine Disruptors, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy; Bendotti G., Unit of Internal Medicine and Endocrinology, Laboratory for Endocrine Disruptors, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy; Pasquali D., Department of Advanced Medical and Surgical Science, A.O.U. Vanvitelli, University of Campania “Luigi Vanvitelli”, Naples, 80138, Italy; Cappelli C., Department of Clinical and Experimental Sciences, University of Brescia, Brescia, 25123, Italy; Latrofa F., Department of Clinical and Experimental Medicine, University of Pisa, Pisa, 56124, Italy; Magri F., Unit of Internal Medicine and Endocrinology, Laboratory for Endocrine Disruptors, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy, Department of Internal Medicine and Therapeutics, University of Pavia, Pavia, 27100, Italy; Chiovato L., Unit of Internal Medicine and Endocrinology, Laboratory for Endocrine Disruptors, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy, Department of Internal Medicine and Therapeutics, University of Pavia, Pavia, 27100, Italy; Rotondi M., Unit of Internal Medicine and Endocrinology, Laboratory for Endocrine Disruptors, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy, Department of Internal Medicine and Therapeutics, University of Pavia, Pavia, 27100, Italy","","L. Chiovato; Unit of Internal Medicine and Endocrinology, Laboratory for Endocrine Disruptors, Istituti Clinici Scientifici Maugeri IRCCS, Pavia, 27100, Italy; email: luca.chiovato@icsmaugeri.it","","Springer Science and Business Media Deutschland GmbH","03914097","","JEIND","32319047","English","J. Endocrinol. Invest.","Article","Final","","Scopus","2-s2.0-85083722917"
"Jaworek A.K.; Dziedzic R.; Mazgaj M.; Michalowska-Kaczmarczyk A.; Wojas-Pelc A.","Jaworek, Andrzej K. (7003449836); Dziedzic, Radoslaw (57225889931); Mazgaj, Magdalena (57218695249); Michalowska-Kaczmarczyk, Anna (55845650100); Wojas-Pelc, Anna (6701316884)","7003449836; 57225889931; 57218695249; 55845650100; 6701316884","A rare case of Lindsay's nails in a patient treated with paclitaxel for breast cancer; [Rzadki przypadek paznokci Lindsaya u pacjentki leczonej paklitakselem z powodu raka sutka]","2021","Przeglad Dermatologiczny","108","2","","137","144","7","1","10.5114/dr.2021.107285","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109751041&doi=10.5114%2fdr.2021.107285&partnerID=40&md5=fae79e0615eb885779fa8867a0817ec4","Department of Dermatology, Jagiellonian University Medical College, Krakow, Poland; Students' Dermatology Research Association, Jagiellonian University Medical College, Krakow, Poland; Clinical Department of Dermatology, University Hospital, Krakow, Poland; Department of Oncology, Jagiellonian University Medical College, Krakow, Poland","Jaworek A.K., Department of Dermatology, Jagiellonian University Medical College, Krakow, Poland; Dziedzic R., Students' Dermatology Research Association, Jagiellonian University Medical College, Krakow, Poland; Mazgaj M., Clinical Department of Dermatology, University Hospital, Krakow, Poland; Michalowska-Kaczmarczyk A., Department of Oncology, Jagiellonian University Medical College, Krakow, Poland; Wojas-Pelc A., Department of Dermatology, Jagiellonian University Medical College, Krakow, Poland","","A.K. Jaworek; Katedra i Klinika Dermatologii, Uniwersytet Jagiellonski, Collegium Medicum, Kraków, Poland; email: andrzej.jaworek@uj.edu.pl","","Termedia Publishing House Ltd.","00332526","","PRDEA","","English","Prz. Dermatol.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85109751041"
